Order ID,Order Date,Region,Category,Segment,Product,Sales,Profit,Quantity
ORD-1000,2022-01-01 00:00:00,East,Office Supplies,Home Office,Table,236.45,146.42,5
ORD-1001,2022-01-01 01:00:00,West,Furniture,Consumer,Laptop,182.87,90.83,3
ORD-1002,2022-01-01 02:00:00,North,Furniture,Home Office,Laptop,315.77,120.14,2
ORD-1003,2022-01-01 03:00:00,East,Office Supplies,Corporate,Table,190.02,183.57,7
ORD-1004,2022-01-01 04:00:00,East,Technology,Consumer,Laptop,722.72,178.25,5
ORD-1005,2022-01-01 05:00:00,West,Office Supplies,Corporate,Laptop,126.14,194.57,3
ORD-1006,2022-01-01 06:00:00,North,Office Supplies,Consumer,Printer,655.97,112.03,2
ORD-1007,2022-01-01 07:00:00,North,Technology,Home Office,Laptop,226.64,101.59,6
ORD-1008,2022-01-01 08:00:00,East,Office Supplies,Corporate,Table,950.65,187.37,6
ORD-1009,2022-01-01 09:00:00,South,Office Supplies,Corporate,Chair,939.78,48.53,3
ORD-1010,2022-01-01 10:00:00,East,Office Supplies,Consumer,Laptop,302.95,83.38,9
ORD-1011,2022-01-01 11:00:00,East,Technology,Consumer,Phone,652.98,22.22,1
ORD-1012,2022-01-01 12:00:00,East,Furniture,Corporate,Table,125.2,31.06,3
ORD-1013,2022-01-01 13:00:00,East,Furniture,Consumer,Binder,938.61,80.58,1
ORD-1014,2022-01-01 14:00:00,West,Technology,Corporate,Printer,570.69,15.66,7
ORD-1015,2022-01-01 15:00:00,North,Furniture,Consumer,Table,138.9,81.17,2
ORD-1016,2022-01-01 16:00:00,West,Office Supplies,Home Office,Chair,408.25,199.94,4
ORD-1017,2022-01-01 17:00:00,West,Furniture,Consumer,Table,169.16,27.72,4
ORD-1018,2022-01-01 18:00:00,West,Office Supplies,Home Office,Binder,453.65,136.65,8
ORD-1019,2022-01-01 19:00:00,East,Furniture,Consumer,Printer,702.93,274.8,4
ORD-1020,2022-01-01 20:00:00,South,Technology,Consumer,Phone,522.9,239.47,3
ORD-1021,2022-01-01 21:00:00,North,Furniture,Corporate,Binder,445.35,98.58,3
ORD-1022,2022-01-01 22:00:00,South,Furniture,Consumer,Table,207.24,278.19,5
ORD-1023,2022-01-01 23:00:00,West,Furniture,Consumer,Binder,320.45,105.6,6
ORD-1024,2022-01-02 00:00:00,West,Technology,Home Office,Table,190.13,31.03,7
ORD-1025,2022-01-02 01:00:00,South,Furniture,Consumer,Phone,826.75,298.28,5
ORD-1026,2022-01-02 02:00:00,South,Technology,Corporate,Phone,221.72,262.31,7
ORD-1027,2022-01-02 03:00:00,South,Office Supplies,Home Office,Chair,635.84,145.12,4
ORD-1028,2022-01-02 04:00:00,West,Furniture,Corporate,Phone,408.47,203.25,5
ORD-1029,2022-01-02 05:00:00,West,Technology,Corporate,Laptop,303.38,204.66,6
